name,month,download_count
agentlego,2023-12,948
agentlego,2024-01,389
agentlego,2024-02,720
agentlego,2024-03,440
agentlego,2024-04,409
agentlego,2024-05,320
agentlego,2024-06,341
agentlego,2024-07,461
agentlego,2024-08,69
aiconfig-extension-gemini,2023-12,1420
aiconfig-extension-gemini,2024-01,637
aiconfig-extension-gemini,2024-02,589
aiconfig-extension-gemini,2024-03,500
aiconfig-extension-gemini,2024-04,476
aiconfig-extension-gemini,2024-05,332
aiconfig-extension-gemini,2024-06,416
aiconfig-extension-gemini,2024-07,512
aiconfig-extension-gemini,2024-08,67
aiconfig-extension-groq,2024-03,682
aiconfig-extension-groq,2024-04,246
aiconfig-extension-groq,2024-05,196
aiconfig-extension-groq,2024-06,202
aiconfig-extension-groq,2024-07,263
aiconfig-extension-groq,2024-08,35
aiconfig-extension-hugging-face,2023-12,337
aiconfig-extension-hugging-face,2024-01,1559
aiconfig-extension-hugging-face,2024-02,2967
aiconfig-extension-hugging-face,2024-03,1435
aiconfig-extension-hugging-face,2024-04,1199
aiconfig-extension-hugging-face,2024-05,876
aiconfig-extension-hugging-face,2024-06,960
aiconfig-extension-hugging-face,2024-07,1242
aiconfig-extension-hugging-face,2024-08,161
aiconfig-extension-hugging-face-transformers,2023-12,1395
aiconfig-extension-hugging-face-transformers,2024-01,158
aiconfig-extension-hugging-face-transformers,2024-02,12
aiconfig-extension-hugging-face-transformers,2024-03,3
aiconfig-extension-hugging-face-transformers,2024-05,14
aiconfig-extension-hugging-face-transformers,2024-06,8
aiconfig-extension-hugging-face-transformers,2024-07,9
aiconfig-extension-llama,2023-12,365
aiconfig-extension-llama,2024-01,208
aiconfig-extension-llama,2024-02,408
aiconfig-extension-llama,2024-03,269
aiconfig-extension-llama,2024-04,212
aiconfig-extension-llama,2024-05,164
aiconfig-extension-llama,2024-06,201
aiconfig-extension-llama,2024-07,242
aiconfig-extension-llama,2024-08,30
aiconfig-extension-llama-guard,2023-12,1001
aiconfig-extension-llama-guard,2024-01,442
aiconfig-extension-llama-guard,2024-02,374
aiconfig-extension-llama-guard,2024-03,350
aiconfig-extension-llama-guard,2024-04,315
aiconfig-extension-llama-guard,2024-05,244
aiconfig-extension-llama-guard,2024-06,280
aiconfig-extension-llama-guard,2024-07,341
aiconfig-extension-llama-guard,2024-08,45
ali-express-craper,2024-02,93
ali-express-craper,2024-05,1
ali-express-scraper,2024-02,254
ali-express-scraper,2024-03,181
ali-express-scraper,2024-04,123
ali-express-scraper,2024-05,112
ali-express-scraper,2024-06,120
ali-express-scraper,2024-07,139
ali-express-scraper,2024-08,20
antgo,2021-01,1100
antgo,2021-02,406
antgo,2021-03,613
antgo,2021-04,420
antgo,2021-05,434
antgo,2021-06,491
antgo,2021-07,430
antgo,2021-08,448
